date,subscription,resource_group,service,cost
2025-08-09,sub-dev,rg-analytics,Monitoring,7.6
2025-08-09,sub-dev,rg-ml,Compute,39.91
2025-08-09,sub-dev,rg-ml,Storage,20.03
2025-08-09,sub-dev,rg-ml,SQL,34.12
2025-08-09,sub-dev,rg-ml,Networking,13.2
2025-08-09,sub-dev,rg-ml,AI,15.53
2025-08-09,sub-dev,rg-ml,Monitoring,8.91
2025-08-09,sub-dev,rg-web,Compute,71.39
2025-08-09,sub-dev,rg-web,Storage,25.23
2025-08-09,sub-dev,rg-web,SQL,45.63
2025-08-09,sub-dev,rg-web,Networking,11.74
2025-08-09,sub-dev,rg-web,AI,12.17
2025-08-09,sub-dev,rg-web,Monitoring,7.71
2025-08-09,sub-dev,rg-data,Compute,52.74
2025-08-09,sub-dev,rg-data,Storage,28.07
2025-08-09,sub-dev,rg-data,SQL,47.41
2025-08-09,sub-dev,rg-data,Networking,15.85
2025-08-09,sub-dev,rg-data,AI,11.83
2025-08-09,sub-dev,rg-data,Monitoring,9.98
2025-08-10,sub-prod,rg-core,Compute,144.16
2025-08-10,sub-prod,rg-core,Storage,63.1
2025-08-10,sub-prod,rg-core,SQL,80.59
2025-08-10,sub-prod,rg-core,Networking,29.9
2025-08-10,sub-prod,rg-core,AI,36.79
2025-08-10,sub-prod,rg-core,Monitoring,19.95
2025-08-10,sub-prod,rg-analytics,Compute,107.43
2025-08-10,sub-prod,rg-analytics,Storage,54.01
2025-08-10,sub-prod,rg-analytics,SQL,75.64
2025-08-10,sub-prod,rg-analytics,Networking,24.23
2025-08-10,sub-prod,rg-analytics,AI,34.87
2025-08-10,sub-prod,rg-analytics,Monitoring,18.52
2025-08-10,sub-prod,rg-ml,Compute,94.28
2025-08-10,sub-prod,rg-ml,Storage,54.27
2025-08-10,sub-prod,rg-ml,SQL,72.54
2025-08-10,sub-prod,rg-ml,Networking,24.73
2025-08-10,sub-prod,rg-ml,AI,34.03
2025-08-10,sub-prod,rg-ml,Monitoring,16.46
2025-08-10,sub-prod,rg-web,Compute,125.73
2025-08-10,sub-prod,rg-web,Storage,52.61
2025-08-10,sub-prod,rg-web,SQL,68.66
2025-08-10,sub-prod,rg-web,Networking,21.31
2025-08-10,sub-prod,rg-web,AI,34.65
2025-08-10,sub-prod,rg-web,Monitoring,14.26
2025-08-10,sub-prod,rg-data,Compute,126.03
2025-08-10,sub-prod,rg-data,Storage,58.77
2025-08-10,sub-prod,rg-data,SQL,78.89
2025-08-10,sub-prod,rg-data,Networking,23.63
2025-08-10,sub-prod,rg-data,AI,26.12
2025-08-10,sub-prod,rg-data,Monitoring,17.52
2025-08-10,sub-dev,rg-core,Compute,68.16
2025-08-10,sub-dev,rg-core,Storage,38.18
2025-08-10,sub-dev,rg-core,SQL,54.87
2025-08-10,sub-dev,rg-core,Networking,13.32
2025-08-10,sub-dev,rg-core,AI,22.28
2025-08-10,sub-dev,rg-core,Monitoring,10.19
2025-08-10,sub-dev,rg-analytics,Compute,62.28
2025-08-10,sub-dev,rg-analytics,Storage,29.23
2025-08-10,sub-dev,rg-analytics,SQL,37.86
2025-08-10,sub-dev,rg-analytics,Networking,13.96
2025-08-10,sub-dev,rg-analytics,AI,11.65
2025-08-10,sub-dev,rg-analytics,Monitoring,8.91
2025-08-10,sub-dev,rg-ml,Compute,64.73
2025-08-10,sub-dev,rg-ml,Storage,32.38
2025-08-10,sub-dev,rg-ml,SQL,41.96
2025-08-10,sub-dev,rg-ml,Networking,13.65
2025-08-10,sub-dev,rg-ml,AI,17.54
2025-08-10,sub-dev,rg-ml,Monitoring,9.02
2025-08-10,sub-dev,rg-web,Compute,55.44
2025-08-10,sub-dev,rg-web,Storage,20.7
2025-08-10,sub-dev,rg-web,SQL,37.78
2025-08-10,sub-dev,rg-web,Networking,11.98
2025-08-10,sub-dev,rg-web,AI,16.23
2025-08-10,sub-dev,rg-web,Monitoring,7.14
2025-08-10,sub-dev,rg-data,Compute,60.77
2025-08-10,sub-dev,rg-data,Storage,32.12
2025-08-10,sub-dev,rg-data,SQL,31.26
2025-08-10,sub-dev,rg-data,Networking,12.77
2025-08-10,sub-dev,rg-data,AI,8.76
2025-08-10,sub-dev,rg-data,Monitoring,7.94
2025-08-11,sub-prod,rg-core,Compute,204.42
2025-08-11,sub-prod,rg-core,Storage,86.79
2025-08-11,sub-prod,rg-core,SQL,119.5
2025-08-11,sub-prod,rg-core,Networking,35.95
2025-08-11,sub-prod,rg-core,AI,53.92
2025-08-11,sub-prod,rg-core,Monitoring,31.7
2025-08-11,sub-prod,rg-analytics,Compute,150.36
2025-08-11,sub-prod,rg-analytics,Storage,73.27
2025-08-11,sub-prod,rg-analytics,SQL,94.73
2025-08-11,sub-prod,rg-analytics,Networking,32.32
2025-08-11,sub-prod,rg-analytics,AI,46.38
2025-08-11,sub-prod,rg-analytics,Monitoring,23.5
2025-08-11,sub-prod,rg-ml,Compute,154.93
2025-08-11,sub-prod,rg-ml,Storage,70.95
2025-08-11,sub-prod,rg-ml,SQL,96.13
2025-08-11,sub-prod,rg-ml,Networking,32.8
2025-08-11,sub-prod,rg-ml,AI,52.04
2025-08-11,sub-prod,rg-ml,Monitoring,21.6
2025-08-11,sub-prod,rg-web,Compute,144.32
2025-08-11,sub-prod,rg-web,Storage,58.27
2025-08-11,sub-prod,rg-web,SQL,94.51
2025-08-11,sub-prod,rg-web,Networking,26.1
2025-08-11,sub-prod,rg-web,AI,44.61
2025-08-11,sub-prod,rg-web,Monitoring,19.41
2025-08-11,sub-prod,rg-data,Compute,182.85
2025-08-11,sub-prod,rg-data,Storage,74.2
2025-08-11,sub-prod,rg-data,SQL,103.36
2025-08-11,sub-prod,rg-data,Networking,33.55
2025-08-11,sub-prod,rg-data,AI,50.15
2025-08-11,sub-prod,rg-data,Monitoring,22.95
2025-08-11,sub-dev,rg-core,Compute,89.95
2025-08-11,sub-dev,rg-core,Storage,47.35
2025-08-11,sub-dev,rg-core,SQL,48.96
2025-08-11,sub-dev,rg-core,Networking,18.93
2025-08-11,sub-dev,rg-core,AI,19.91
2025-08-11,sub-dev,rg-core,Monitoring,13.59
2025-08-11,sub-dev,rg-analytics,Compute,77.28
2025-08-11,sub-dev,rg-analytics,Storage,35.71
2025-08-11,sub-dev,rg-analytics,SQL,51.93
2025-08-11,sub-dev,rg-analytics,Networking,16.87
2025-08-11,sub-dev,rg-analytics,AI,18.26
2025-08-11,sub-dev,rg-analytics,Monitoring,12.69
2025-08-11,sub-dev,rg-ml,Compute,81.01
2025-08-11,sub-dev,rg-ml,Storage,36.54
2025-08-11,sub-dev,rg-ml,SQL,52.82
2025-08-11,sub-dev,rg-ml,Networking,18.99
2025-08-11,sub-dev,rg-ml,AI,21.89
2025-08-11,sub-dev,rg-ml,Monitoring,11.14
2025-08-11,sub-dev,rg-web,Compute,53.12
2025-08-11,sub-dev,rg-web,Storage,26.6
2025-08-11,sub-dev,rg-web,SQL,37.98
2025-08-11,sub-dev,rg-web,Networking,13.56
2025-08-11,sub-dev,rg-web,AI,20.78
2025-08-11,sub-dev,rg-web,Monitoring,9.89
2025-08-11,sub-dev,rg-data,Compute,91.69
2025-08-11,sub-dev,rg-data,Storage,39.11
2025-08-11,sub-dev,rg-data,SQL,52.9
2025-08-11,sub-dev,rg-data,Networking,15.89
2025-08-11,sub-dev,rg-data,AI,26.32
2025-08-11,sub-dev,rg-data,Monitoring,12.35
2025-08-12,sub-prod,rg-core,Compute,186.28
2025-08-12,sub-prod,rg-core,Storage,86.47
2025-08-12,sub-prod,rg-core,SQL,118.97
2025-08-12,sub-prod,rg-core,Networking,39.86
2025-08-12,sub-prod,rg-core,AI,48.55
2025-08-12,sub-prod,rg-core,Monitoring,29.93
2025-08-12,sub-prod,rg-analytics,Compute,165.96
2025-08-12,sub-prod,rg-analytics,Storage,78.45
2025-08-12,sub-prod,rg-analytics,SQL,97.24
2025-08-12,sub-prod,rg-analytics,Networking,34.01
2025-08-12,sub-prod,rg-analytics,AI,48.85
2025-08-12,sub-prod,rg-analytics,Monitoring,24.58
2025-08-12,sub-prod,rg-ml,Compute,182.05
2025-08-12,sub-prod,rg-ml,Storage,69.22
2025-08-12,sub-prod,rg-ml,SQL,100.03
2025-08-12,sub-prod,rg-ml,Networking,33.79
2025-08-12,sub-prod,rg-ml,AI,54.94
2025-08-12,sub-prod,rg-ml,Monitoring,22.75
2025-08-12,sub-prod,rg-web,Compute,161.38
2025-08-12,sub-prod,rg-web,Storage,59.41
2025-08-12,sub-prod,rg-web,SQL,84.82
2025-08-12,sub-prod,rg-web,Networking,28.87
2025-08-12,sub-prod,rg-web,AI,38.97
2025-08-12,sub-prod,rg-web,Monitoring,22.12
2025-08-12,sub-prod,rg-data,Compute,151.02
2025-08-12,sub-prod,rg-data,Storage,80.4
2025-08-12,sub-prod,rg-data,SQL,111.18
2025-08-12,sub-prod,rg-data,Networking,38.36
2025-08-12,sub-prod,rg-data,AI,48.2
2025-08-12,sub-prod,rg-data,Monitoring,25.55
2025-08-12,sub-dev,rg-core,Compute,110.18
2025-08-12,sub-dev,rg-core,Storage,47.53
2025-08-12,sub-dev,rg-core,SQL,56.56
2025-08-12,sub-dev,rg-core,Networking,22.17
2025-08-12,sub-dev,rg-core,AI,24.99
2025-08-12,sub-dev,rg-core,Monitoring,15.64
2025-08-12,sub-dev,rg-analytics,Compute,84.69
2025-08-12,sub-dev,rg-analytics,Storage,34.15
2025-08-12,sub-dev,rg-analytics,SQL,44.68
2025-08-12,sub-dev,rg-analytics,Networking,17.85
2025-08-12,sub-dev,rg-analytics,AI,24.79
2025-08-12,sub-dev,rg-analytics,Monitoring,11.42
2025-08-12,sub-dev,rg-ml,Compute,76.82
2025-08-12,sub-dev,rg-ml,Storage,37.72
2025-08-12,sub-dev,rg-ml,SQL,56.46
2025-08-12,sub-dev,rg-ml,Networking,16.44
2025-08-12,sub-dev,rg-ml,AI,26.74
2025-08-12,sub-dev,rg-ml,Monitoring,11.93
2025-08-12,sub-dev,rg-web,Compute,85.91
2025-08-12,sub-dev,rg-web,Storage,29.02
2025-08-12,sub-dev,rg-web,SQL,30.93
2025-08-12,sub-dev,rg-web,Networking,17.13
2025-08-12,sub-dev,rg-web,AI,33.19
2025-08-12,sub-dev,rg-web,Monitoring,10.15
2025-08-12,sub-dev,rg-data,Compute,78.25
2025-08-12,sub-dev,rg-data,Storage,36.79
2025-08-12,sub-dev,rg-data,SQL,53.44
2025-08-12,sub-dev,rg-data,Networking,15.67
2025-08-12,sub-dev,rg-data,AI,27.23
2025-08-12,sub-dev,rg-data,Monitoring,13.05
2025-08-13,sub-prod,rg-core,Compute,185.19
2025-08-13,sub-prod,rg-core,Storage,86.68
2025-08-13,sub-prod,rg-core,SQL,118.97
2025-08-13,sub-prod,rg-core,Networking,35.73
2025-08-13,sub-prod,rg-core,AI,49.75
2025-08-13,sub-prod,rg-core,Monitoring,26.75
2025-08-13,sub-prod,rg-analytics,Compute,148.2
2025-08-13,sub-prod,rg-analytics,Storage,65.95
2025-08-13,sub-prod,rg-analytics,SQL,109.31
2025-08-13,sub-prod,rg-analytics,Networking,29.71
2025-08-13,sub-prod,rg-analytics,AI,49.89
2025-08-13,sub-prod,rg-analytics,Monitoring,20.38
2025-08-13,sub-prod,rg-ml,Compute,153.03
2025-08-13,sub-prod,rg-ml,Storage,65.99
2025-08-13,sub-prod,rg-ml,SQL,100.6
2025-08-13,sub-prod,rg-ml,Networking,32.39
2025-08-13,sub-prod,rg-ml,AI,40.98
2025-08-13,sub-prod,rg-ml,Monitoring,20.19
2025-08-13,sub-prod,rg-web,Compute,120.26
2025-08-13,sub-prod,rg-web,Storage,59.14
2025-08-13,sub-prod,rg-web,SQL,86.87
2025-08-13,sub-prod,rg-web,Networking,24.31
2025-08-13,sub-prod,rg-web,AI,29.49
2025-08-13,sub-prod,rg-web,Monitoring,19.86
2025-08-13,sub-prod,rg-data,Compute,128.68
2025-08-13,sub-prod,rg-data,Storage,75.24
2025-08-13,sub-prod,rg-data,SQL,108.05
2025-08-13,sub-prod,rg-data,Networking,31.61
2025-08-13,sub-prod,rg-data,AI,39.04
2025-08-13,sub-prod,rg-data,Monitoring,24.43
2025-08-13,sub-dev,rg-core,Compute,123.74
2025-08-13,sub-dev,rg-core,Storage,44.77
2025-08-13,sub-dev,rg-core,SQL,65.91
2025-08-13,sub-dev,rg-core,Networking,19.25
2025-08-13,sub-dev,rg-core,AI,31.15
2025-08-13,sub-dev,rg-core,Monitoring,14.71
2025-08-13,sub-dev,rg-analytics,Compute,75.18
2025-08-13,sub-dev,rg-analytics,Storage,36.13
2025-08-13,sub-dev,rg-analytics,SQL,51.22
2025-08-13,sub-dev,rg-analytics,Networking,17.87
2025-08-13,sub-dev,rg-analytics,AI,30.58
2025-08-13,sub-dev,rg-analytics,Monitoring,11.52
2025-08-13,sub-dev,rg-ml,Compute,77.35
2025-08-13,sub-dev,rg-ml,Storage,33.05
2025-08-13,sub-dev,rg-ml,SQL,55.15
2025-08-13,sub-dev,rg-ml,Networking,11.7
2025-08-13,sub-dev,rg-ml,AI,16.94
2025-08-13,sub-dev,rg-ml,Monitoring,10.01
2025-08-13,sub-dev,rg-web,Compute,50.45
2025-08-13,sub-dev,rg-web,Storage,25.91
2025-08-13,sub-dev,rg-web,SQL,40.05
2025-08-13,sub-dev,rg-web,Networking,14.38
2025-08-13,sub-dev,rg-web,AI,16.49
2025-08-13,sub-dev,rg-web,Monitoring,8.04
2025-08-13,sub-dev,rg-data,Compute,94.83
2025-08-13,sub-dev,rg-data,Storage,35.01
2025-08-13,sub-dev,rg-data,SQL,49.0
2025-08-13,sub-dev,rg-data,Networking,17.69
2025-08-13,sub-dev,rg-data,AI,22.38
2025-08-13,sub-dev,rg-data,Monitoring,12.83
2025-08-14,sub-prod,rg-core,Compute,193.42
2025-08-14,sub-prod,rg-core,Storage,81.95
2025-08-14,sub-prod,rg-core,SQL,123.26
2025-08-14,sub-prod,rg-core,Networking,36.94
2025-08-14,sub-prod,rg-core,AI,45.6
2025-08-14,sub-prod,rg-core,Monitoring,25.13
2025-08-14,sub-prod,rg-analytics,Compute,153.25
2025-08-14,sub-prod,rg-analytics,Storage,69.36
2025-08-14,sub-prod,rg-analytics,SQL,104.36
2025-08-14,sub-prod,rg-analytics,Networking,33.4
2025-08-14,sub-prod,rg-analytics,AI,32.7
2025-08-14,sub-prod,rg-analytics,Monitoring,21.21
2025-08-14,sub-prod,rg-ml,Compute,159.93
2025-08-14,sub-prod,rg-ml,Storage,66.04
2025-08-14,sub-prod,rg-ml,SQL,99.84
2025-08-14,sub-prod,rg-ml,Networking,26.96
2025-08-14,sub-prod,rg-ml,AI,34.2
2025-08-14,sub-prod,rg-ml,Monitoring,21.13
2025-08-14,sub-prod,rg-web,Compute,137.92
2025-08-14,sub-prod,rg-web,Storage,59.68
2025-08-14,sub-prod,rg-web,SQL,89.33
2025-08-14,sub-prod,rg-web,Networking,26.68
2025-08-14,sub-prod,rg-web,AI,40.41
2025-08-14,sub-prod,rg-web,Monitoring,19.91
2025-08-14,sub-prod,rg-data,Compute,126.97
2025-08-14,sub-prod,rg-data,Storage,73.31
2025-08-14,sub-prod,rg-data,SQL,110.23
2025-08-14,sub-prod,rg-data,Networking,29.47
2025-08-14,sub-prod,rg-data,AI,33.79
2025-08-14,sub-prod,rg-data,Monitoring,22.43
2025-08-14,sub-dev,rg-core,Compute,118.35
2025-08-14,sub-dev,rg-core,Storage,45.78
2025-08-14,sub-dev,rg-core,SQL,62.14
2025-08-14,sub-dev,rg-core,Networking,18.15
2025-08-14,sub-dev,rg-core,AI,27.03
2025-08-14,sub-dev,rg-core,Monitoring,13.71
2025-08-14,sub-dev,rg-analytics,Compute,100.58
2025-08-14,sub-dev,rg-analytics,Storage,39.74
2025-08-14,sub-dev,rg-analytics,SQL,57.93
2025-08-14,sub-dev,rg-analytics,Networking,13.92
2025-08-14,sub-dev,rg-analytics,AI,25.37
2025-08-14,sub-dev,rg-analytics,Monitoring,11.71
2025-08-14,sub-dev,rg-ml,Compute,90.5
2025-08-14,sub-dev,rg-ml,Storage,36.36
2025-08-14,sub-dev,rg-ml,SQL,55.07
2025-08-14,sub-dev,rg-ml,Networking,16.16
2025-08-14,sub-dev,rg-ml,AI,22.71
2025-08-14,sub-dev,rg-ml,Monitoring,9.02
2025-08-14,sub-dev,rg-web,Compute,60.16
2025-08-14,sub-dev,rg-web,Storage,27.11
2025-08-14,sub-dev,rg-web,SQL,55.32
2025-08-14,sub-dev,rg-web,Networking,16.05
2025-08-14,sub-dev,rg-web,AI,25.28
2025-08-14,sub-dev,rg-web,Monitoring,9.97
2025-08-14,sub-dev,rg-data,Compute,85.88
2025-08-14,sub-dev,rg-data,Storage,39.85
2025-08-14,sub-dev,rg-data,SQL,50.16
2025-08-14,sub-dev,rg-data,Networking,17.86
2025-08-14,sub-dev,rg-data,AI,24.19
2025-08-14,sub-dev,rg-data,Monitoring,11.02
2025-08-15,sub-prod,rg-core,Compute,180.87
2025-08-15,sub-prod,rg-core,Storage,88.28
2025-08-15,sub-prod,rg-core,SQL,126.94
2025-08-15,sub-prod,rg-core,Networking,36.89
2025-08-15,sub-prod,rg-core,AI,52.38
2025-08-15,sub-prod,rg-core,Monitoring,26.6
2025-08-15,sub-prod,rg-analytics,Compute,137.84
2025-08-15,sub-prod,rg-analytics,Storage,68.71
2025-08-15,sub-prod,rg-analytics,SQL,95.77
2025-08-15,sub-prod,rg-analytics,Networking,28.71
2025-08-15,sub-prod,rg-analytics,AI,44.94
2025-08-15,sub-prod,rg-analytics,Monitoring,22.45
2025-08-15,sub-prod,rg-ml,Compute,134.87
2025-08-15,sub-prod,rg-ml,Storage,65.23
2025-08-15,sub-prod,rg-ml,SQL,97.67
2025-08-15,sub-prod,rg-ml,Networking,29.19
2025-08-15,sub-prod,rg-ml,AI,38.55
2025-08-15,sub-prod,rg-ml,Monitoring,19.0
2025-08-15,sub-prod,rg-web,Compute,128.88
2025-08-15,sub-prod,rg-web,Storage,58.22
2025-08-15,sub-prod,rg-web,SQL,91.4
2025-08-15,sub-prod,rg-web,Networking,26.95
2025-08-15,sub-prod,rg-web,AI,34.45
2025-08-15,sub-prod,rg-web,Monitoring,16.87
2025-08-15,sub-prod,rg-data,Compute,160.41
2025-08-15,sub-prod,rg-data,Storage,71.77
2025-08-15,sub-prod,rg-data,SQL,101.5
2025-08-15,sub-prod,rg-data,Networking,32.38
2025-08-15,sub-prod,rg-data,AI,41.93
2025-08-15,sub-prod,rg-data,Monitoring,22.37
2025-08-15,sub-dev,rg-core,Compute,88.65
2025-08-15,sub-dev,rg-core,Storage,43.51
2025-08-15,sub-dev,rg-core,SQL,64.07
2025-08-15,sub-dev,rg-core,Networking,17.25
2025-08-15,sub-dev,rg-core,AI,23.94
2025-08-15,sub-dev,rg-core,Monitoring,15.2
2025-08-15,sub-dev,rg-analytics,Compute,49.04
2025-08-15,sub-dev,rg-analytics,Storage,29.0
2025-08-15,sub-dev,rg-analytics,SQL,49.81
2025-08-15,sub-dev,rg-analytics,Networking,15.14
2025-08-15,sub-dev,rg-analytics,AI,20.37
2025-08-15,sub-dev,rg-analytics,Monitoring,12.18
2025-08-15,sub-dev,rg-ml,Compute,72.1
2025-08-15,sub-dev,rg-ml,Storage,35.16
2025-08-15,sub-dev,rg-ml,SQL,37.68
2025-08-15,sub-dev,rg-ml,Networking,13.09
2025-08-15,sub-dev,rg-ml,AI,15.26
2025-08-15,sub-dev,rg-ml,Monitoring,8.87
2025-08-15,sub-dev,rg-web,Compute,82.07
2025-08-15,sub-dev,rg-web,Storage,34.82
2025-08-15,sub-dev,rg-web,SQL,41.14
2025-08-15,sub-dev,rg-web,Networking,16.03
2025-08-15,sub-dev,rg-web,AI,18.45
2025-08-15,sub-dev,rg-web,Monitoring,11.38
2025-08-15,sub-dev,rg-data,Compute,82.37
2025-08-15,sub-dev,rg-data,Storage,38.04
2025-08-15,sub-dev,rg-data,SQL,74.21
2025-08-15,sub-dev,rg-data,Networking,17.66
2025-08-15,sub-dev,rg-data,AI,19.27
2025-08-15,sub-dev,rg-data,Monitoring,12.84
2025-08-16,sub-prod,rg-core,Compute,129.39
2025-08-16,sub-prod,rg-core,Storage,64.49
2025-08-16,sub-prod,rg-core,SQL,90.37
2025-08-16,sub-prod,rg-core,Networking,27.83
2025-08-16,sub-prod,rg-core,AI,38.09
2025-08-16,sub-prod,rg-core,Monitoring,20.1
2025-08-16,sub-prod,rg-analytics,Compute,92.2
2025-08-16,sub-prod,rg-analytics,Storage,54.75
2025-08-16,sub-prod,rg-analytics,SQL,70.68
2025-08-16,sub-prod,rg-analytics,Networking,21.23
2025-08-16,sub-prod,rg-analytics,AI,32.16
2025-08-16,sub-prod,rg-analytics,Monitoring,16.94
2025-08-16,sub-prod,rg-ml,Compute,115.96
2025-08-16,sub-prod,rg-ml,Storage,44.89
2025-08-16,sub-prod,rg-ml,SQL,68.06
2025-08-16,sub-prod,rg-ml,Networking,20.6
2025-08-16,sub-prod,rg-ml,AI,29.56
2025-08-16,sub-prod,rg-ml,Monitoring,15.77
2025-08-16,sub-prod,rg-web,Compute,102.6
2025-08-16,sub-prod,rg-web,Storage,43.21
2025-08-16,sub-prod,rg-web,SQL,50.5
2025-08-16,sub-prod,rg-web,Networking,16.09
2025-08-16,sub-prod,rg-web,AI,26.33
2025-08-16,sub-prod,rg-web,Monitoring,13.46
2025-08-16,sub-prod,rg-data,Compute,118.96
2025-08-16,sub-prod,rg-data,Storage,55.3
2025-08-16,sub-prod,rg-data,SQL,85.6
2025-08-16,sub-prod,rg-data,Networking,22.51
2025-08-16,sub-prod,rg-data,AI,27.79
2025-08-16,sub-prod,rg-data,Monitoring,16.23
2025-08-16,sub-dev,rg-core,Compute,85.09
2025-08-16,sub-dev,rg-core,Storage,30.97
2025-08-16,sub-dev,rg-core,SQL,30.76
2025-08-16,sub-dev,rg-core,Networking,11.66
2025-08-16,sub-dev,rg-core,AI,15.64
2025-08-16,sub-dev,rg-core,Monitoring,9.63
2025-08-16,sub-dev,rg-analytics,Compute,57.7
2025-08-16,sub-dev,rg-analytics,Storage,25.37
2025-08-16,sub-dev,rg-analytics,SQL,44.87
2025-08-16,sub-dev,rg-analytics,Networking,10.58
2025-08-16,sub-dev,rg-analytics,AI,11.86
2025-08-16,sub-dev,rg-analytics,Monitoring,8.87
2025-08-16,sub-dev,rg-ml,Compute,57.16
2025-08-16,sub-dev,rg-ml,Storage,24.34
2025-08-16,sub-dev,rg-ml,SQL,34.05
2025-08-16,sub-dev,rg-ml,Networking,13.02
2025-08-16,sub-dev,rg-ml,AI,11.7
2025-08-16,sub-dev,rg-ml,Monitoring,9.88
2025-08-16,sub-dev,rg-web,Compute,33.6
2025-08-16,sub-dev,rg-web,Storage,22.61
2025-08-16,sub-dev,rg-web,SQL,25.73
2025-08-16,sub-dev,rg-web,Networking,8.79
2025-08-16,sub-dev,rg-web,AI,15.7
2025-08-16,sub-dev,rg-web,Monitoring,7.74
2025-08-16,sub-dev,rg-data,Compute,71.55
2025-08-16,sub-dev,rg-data,Storage,30.55
2025-08-16,sub-dev,rg-data,SQL,48.99
2025-08-16,sub-dev,rg-data,Networking,12.89
2025-08-16,sub-dev,rg-data,AI,23.46
2025-08-16,sub-dev,rg-data,Monitoring,6.68
2025-08-17,sub-prod,rg-core,Compute,125.49
2025-08-17,sub-prod,rg-core,Storage,62.61
2025-08-17,sub-prod,rg-core,SQL,86.94
2025-08-17,sub-prod,rg-core,Networking,27.4
2025-08-17,sub-prod,rg-core,AI,47.62
2025-08-17,sub-prod,rg-core,Monitoring,19.72
2025-08-17,sub-prod,rg-analytics,Compute,112.99
2025-08-17,sub-prod,rg-analytics,Storage,53.27
2025-08-17,sub-prod,rg-analytics,SQL,77.23
2025-08-17,sub-prod,rg-analytics,Networking,24.23
2025-08-17,sub-prod,rg-analytics,AI,38.43
2025-08-17,sub-prod,rg-analytics,Monitoring,18.74
2025-08-17,sub-prod,rg-ml,Compute,116.72
2025-08-17,sub-prod,rg-ml,Storage,47.09
2025-08-17,sub-prod,rg-ml,SQL,72.54
2025-08-17,sub-prod,rg-ml,Networking,23.72
2025-08-17,sub-prod,rg-ml,AI,35.23
2025-08-17,sub-prod,rg-ml,Monitoring,16.29
2025-08-17,sub-prod,rg-web,Compute,105.7
2025-08-17,sub-prod,rg-web,Storage,49.05
2025-08-17,sub-prod,rg-web,SQL,68.39
2025-08-17,sub-prod,rg-web,Networking,19.77
2025-08-17,sub-prod,rg-web,AI,29.85
2025-08-17,sub-prod,rg-web,Monitoring,11.46
2025-08-17,sub-prod,rg-data,Compute,77.68
2025-08-17,sub-prod,rg-data,Storage,50.93
2025-08-17,sub-prod,rg-data,SQL,83.86
2025-08-17,sub-prod,rg-data,Networking,25.43
2025-08-17,sub-prod,rg-data,AI,28.62
2025-08-17,sub-prod,rg-data,Monitoring,17.02
2025-08-17,sub-dev,rg-core,Compute,66.86
2025-08-17,sub-dev,rg-core,Storage,39.48
2025-08-17,sub-dev,rg-core,SQL,48.44
2025-08-17,sub-dev,rg-core,Networking,15.4
2025-08-17,sub-dev,rg-core,AI,28.46
2025-08-17,sub-dev,rg-core,Monitoring,10.79
2025-08-17,sub-dev,rg-analytics,Compute,55.06
2025-08-17,sub-dev,rg-analytics,Storage,25.74
2025-08-17,sub-dev,rg-analytics,SQL,28.85
2025-08-17,sub-dev,rg-analytics,Networking,11.09
2025-08-17,sub-dev,rg-analytics,AI,12.29
