date,service,cost
2025-09-07,Monitoring,146.16
2025-09-07,Networking,203.56
2025-09-07,SQL,636.35
2025-09-07,Storage,427.03999999999996
2025-09-08,AI,423.51
2025-09-08,Compute,1358.45
2025-09-08,Monitoring,212.33
2025-09-08,Networking,294.21
2025-09-08,SQL,862.13
2025-09-08,Storage,609.42
2025-09-09,AI,397.13
2025-09-09,Compute,1268.1000000000001
2025-09-09,Monitoring,199.99
2025-09-09,Networking,269.15
2025-09-09,SQL,859.97
2025-09-09,Storage,575.22
2025-09-10,AI,377.32
2025-09-10,Compute,1236.13
2025-09-10,Monitoring,189.67000000000002
2025-09-10,Networking,264.65
2025-09-10,SQL,827.93
2025-09-10,Storage,565.11
2025-09-11,AI,365.88
2025-09-11,Compute,1191.94
2025-09-11,Monitoring,188.04
2025-09-11,Networking,256.61
2025-09-11,SQL,798.12
2025-09-11,Storage,552.4
2025-09-12,AI,380.62
2025-09-12,Compute,1262.08
2025-09-12,Monitoring,190.03
2025-09-12,Networking,257.98
2025-09-12,SQL,828.3
2025-09-12,Storage,578.15
2025-09-13,AI,312.2
2025-09-13,Compute,1023.6
2025-09-13,Monitoring,150.78
2025-09-13,Networking,217.48000000000002
2025-09-13,SQL,687.54
2025-09-13,Storage,457.52
2025-09-14,AI,297.44
2025-09-14,Compute,1005.6700000000001
2025-09-14,Monitoring,146.77
2025-09-14,Networking,215.04
2025-09-14,SQL,676.0600000000001
2025-09-14,Storage,454.26
2025-09-15,AI,377.77
2025-09-15,Compute,1349.1
2025-09-15,Monitoring,188.98
2025-09-15,Networking,267.17
2025-09-15,SQL,831.22
2025-09-15,Storage,586.24
2025-09-16,AI,355.57
2025-09-16,Compute,1212.8899999999999
2025-09-16,Monitoring,186.08
2025-09-16,Networking,247.31
2025-09-16,SQL,782.12
2025-09-16,Storage,556.15
2025-09-17,AI,350.82
2025-09-17,Compute,1236.94
2025-09-17,Monitoring,188.87
2025-09-17,Networking,263.35
2025-09-17,SQL,820.85
2025-09-17,Storage,586.0699999999999
2025-09-18,AI,373.22
2025-09-18,Compute,1203.68
2025-09-18,Monitoring,185.13
2025-09-18,Networking,261.52
2025-09-18,SQL,846.5
2025-09-18,Storage,570.87
2025-09-19,AI,381.52
2025-09-19,Compute,1273.96
2025-09-19,Monitoring,198.32
2025-09-19,Networking,272.63
2025-09-19,SQL,826.47
2025-09-19,Storage,575.08
2025-09-20,AI,280.64
2025-09-20,Compute,1000.52
2025-09-20,Monitoring,144.82
2025-09-20,Networking,205.17
2025-09-20,SQL,650.42
2025-09-20,Storage,440.72
2025-09-21,AI,293.43
2025-09-21,Compute,888.1999999999999
2025-09-21,Monitoring,138.35
2025-09-21,Networking,190.74
2025-09-21,SQL,637.04
2025-09-21,Storage,428.94
2025-09-22,AI,416.17
2025-09-22,Compute,1255.31
2025-09-22,Monitoring,192.35
2025-09-22,Networking,279.44
2025-09-22,SQL,854.69
2025-09-22,Storage,584.9
2025-09-23,AI,390.35
2025-09-23,Compute,1261.64
2025-09-23,Monitoring,192.32
2025-09-23,Networking,264.95
2025-09-23,SQL,837.23
2025-09-23,Storage,585.49
2025-09-24,AI,435.98
2025-09-24,Compute,1438.45
2025-09-24,Monitoring,208.3
2025-09-24,Networking,287.12
2025-09-24,SQL,910.8
2025-09-24,Storage,625.41
2025-09-25,AI,452.51
2025-09-25,Compute,1440.47
2025-09-25,Monitoring,227.88
2025-09-25,Networking,321.45
2025-09-25,SQL,997.8399999999999
2025-09-25,Storage,678.99
2025-09-26,AI,451.39000000000004
2025-09-26,Compute,1454.26
2025-09-26,Monitoring,218.38
2025-09-26,Networking,305.16
2025-09-26,SQL,974.04
2025-09-26,Storage,645.51
2025-09-27,AI,323.28
2025-09-27,Compute,1115.8
2025-09-27,Monitoring,168.01
2025-09-27,Networking,235.56
2025-09-27,SQL,751.65
2025-09-27,Storage,508.93
2025-09-28,AI,287.79
2025-09-28,Compute,1079.66
2025-09-28,Monitoring,162.19
2025-09-28,Networking,215.54
2025-09-28,SQL,733.53
2025-09-28,Storage,499.51
2025-09-29,AI,409.78999999999996
2025-09-29,Compute,1470.32
2025-09-29,Monitoring,224.78
2025-09-29,Networking,305.89
2025-09-29,SQL,964.82
2025-09-29,Storage,670.28
2025-09-30,AI,424.96999999999997
2025-09-30,Compute,1438.92
2025-09-30,Monitoring,213.23000000000002
2025-09-30,Networking,298.53000000000003
2025-09-30,SQL,954.16
2025-09-30,Storage,652.51
2025-10-01,AI,388.75
2025-10-01,Compute,1218.9
2025-10-01,Monitoring,192.79
2025-10-01,Networking,266.58
2025-10-01,SQL,867.55
2025-10-01,Storage,583.77
2025-10-02,AI,346.21
2025-10-02,Compute,1314.42
2025-10-02,Monitoring,176.73
2025-10-02,Networking,258.16
2025-10-02,SQL,818.44
2025-10-02,Storage,555.12
2025-10-03,AI,365.19
2025-10-03,Compute,1233.2
2025-10-03,Monitoring,181.18
2025-10-03,Networking,246.72
2025-10-03,SQL,837.39
2025-10-03,Storage,566.73
2025-10-04,AI,273.15
2025-10-04,Compute,861.7
2025-10-04,Monitoring,136.34
2025-10-04,Networking,186.48000000000002
2025-10-04,SQL,588.61
2025-10-04,Storage,411.37
2025-10-05,AI,267.74
2025-10-05,Compute,902.82
2025-10-05,Monitoring,147.34
2025-10-05,Networking,203.86
2025-10-05,SQL,619.17
2025-10-05,Storage,449.0
2025-10-06,AI,361.22
2025-10-06,Compute,1234.05
2025-10-06,Monitoring,188.75
2025-10-06,Networking,246.10000000000002
2025-10-06,SQL,846.77
2025-10-06,Storage,551.76
2025-10-07,AI,372.42
2025-10-07,Compute,1284.07
2025-10-07,Monitoring,187.28
2025-10-07,Networking,266.29
2025-10-07,SQL,796.99
2025-10-07,Storage,572.8100000000001
2025-10-08,AI,354.77
2025-10-08,Compute,1221.69
2025-10-08,Monitoring,176.87
2025-10-08,Networking,250.68
2025-10-08,SQL,802.38
2025-10-08,Storage,574.09
2025-10-09,AI,326.74
2025-10-09,Compute,1182.15
2025-10-09,Monitoring,173.6
2025-10-09,Networking,246.63
2025-10-09,SQL,816.6800000000001
2025-10-09,Storage,546.19
2025-10-10,AI,345.06
2025-10-10,Compute,1215.02
2025-10-10,Monitoring,171.11
2025-10-10,Networking,250.95
2025-10-10,SQL,795.87
2025-10-10,Storage,544.1800000000001
2025-10-11,AI,274.92
2025-10-11,Compute,866.03
2025-10-11,Monitoring,134.01
2025-10-11,Networking,192.10999999999999
2025-10-11,SQL,590.76
2025-10-11,Storage,414.74
2025-10-12,AI,308.82
2025-10-12,Compute,1100.31
2025-10-12,Monitoring,153.39000000000001
2025-10-12,Networking,208.69
2025-10-12,SQL,673.37
2025-10-12,Storage,470.81
2025-10-13,AI,366.74
2025-10-13,Compute,1245.41
2025-10-13,Monitoring,185.88
2025-10-13,Networking,269.26
2025-10-13,SQL,835.0
2025-10-13,Storage,583.28
2025-10-14,AI,359.67
2025-10-14,Compute,1205.76
2025-10-14,Monitoring,191.05
2025-10-14,Networking,255.03
2025-10-14,SQL,813.1899999999999
2025-10-14,Storage,569.81
2025-10-15,AI,396.90999999999997
2025-10-15,Compute,1336.27
2025-10-15,Monitoring,197.76
2025-10-15,Networking,280.19
2025-10-15,SQL,884.14
2025-10-15,Storage,604.26
2025-10-16,AI,438.96999999999997
2025-10-16,Compute,1347.89
2025-10-16,Monitoring,206.88
2025-10-16,Networking,281.89
2025-10-16,SQL,893.78
2025-10-16,Storage,635.0
2025-10-17,AI,374.22
2025-10-17,Compute,1313.42
2025-10-17,Monitoring,192.02
2025-10-17,Networking,264.03000000000003
2025-10-17,SQL,832.56
2025-10-17,Storage,567.8
2025-10-18,AI,279.79
2025-10-18,Compute,979.69
2025-10-18,Monitoring,141.14
2025-10-18,Networking,199.34
2025-10-18,SQL,677.32
2025-10-18,Storage,445.17
2025-10-19,AI,248.52
2025-10-19,Compute,972.57
2025-10-19,Monitoring,139.47
2025-10-19,Networking,209.16
2025-10-19,SQL,665.17
2025-10-19,Storage,439.91
2025-10-20,AI,344.03
2025-10-20,Compute,1248.6
2025-10-20,Monitoring,181.08
2025-10-20,Networking,250.88
2025-10-20,SQL,873.29
2025-10-20,Storage,573.46
2025-10-21,AI,338.07
2025-10-21,Compute,1205.18
2025-10-21,Monitoring,174.98
2025-10-21,Networking,239.02
2025-10-21,SQL,776.15
2025-10-21,Storage,544.93
2025-10-22,AI,386.95
2025-10-22,Compute,1256.18
2025-10-22,Monitoring,189.56
2025-10-22,Networking,257.95
2025-10-22,SQL,827.41
2025-10-22,Storage,568.32
2025-10-23,AI,404.95
2025-10-23,Compute,1262.63
2025-10-23,Monitoring,190.97
2025-10-23,Networking,265.73
2025-10-23,SQL,828.36
2025-10-23,Storage,589.0
2025-10-24,AI,365.63
2025-10-24,Compute,1738.9343195968863
2025-10-24,Monitoring,192.55
2025-10-24,Networking,333.4496685933922
2025-10-24,SQL,1061.3711252391586
2025-10-24,Storage,583.66
2025-10-25,AI,325.02
2025-10-25,Compute,1214.3397216413962
2025-10-25,Monitoring,166.54
2025-10-25,Networking,253.55706671075862
2025-10-25,SQL,831.3494469181026
2025-10-25,Storage,487.82
2025-10-26,AI,331.17
2025-10-26,Compute,1094.03
2025-10-26,Monitoring,171.55
2025-10-26,Networking,239.99
2025-10-26,SQL,757.07
2025-10-26,Storage,531.73
2025-10-27,AI,422.6
2025-10-27,Compute,1413.8799999999999
2025-10-27,Monitoring,211.62
2025-10-27,Networking,293.7
2025-10-27,SQL,981.61
2025-10-27,Storage,655.9300000000001
2025-10-28,AI,409.11
2025-10-28,Compute,1387.33
2025-10-28,Monitoring,212.35999999999999
2025-10-28,Networking,303.75
2025-10-28,SQL,967.96
2025-10-28,Storage,672.91
2025-10-29,AI,386.12
2025-10-29,Compute,1449.67
2025-10-29,Monitoring,209.8
2025-10-29,Networking,296.56
2025-10-29,SQL,937.64
2025-10-29,Storage,670.09
2025-10-30,AI,425.02
2025-10-30,Compute,1482.68
2025-10-30,Monitoring,221.32999999999998
2025-10-30,Networking,296.29
2025-10-30,SQL,970.79
2025-10-30,Storage,651.99
2025-10-31,AI,391.19
2025-10-31,Compute,1374.11
2025-10-31,Monitoring,209.39
2025-10-31,Networking,294.94
2025-10-31,SQL,929.78
2025-10-31,Storage,644.59
2025-11-01,AI,288.71999999999997
2025-11-01,Compute,992.06
2025-11-01,Monitoring,138.26
2025-11-01,Networking,195.3
2025-11-01,SQL,620.17
2025-11-01,Storage,455.13
2025-11-02,AI,310.54
2025-11-02,Compute,1028.61
2025-11-02,Monitoring,146.09
2025-11-02,Networking,211.13
2025-11-02,SQL,647.45
2025-11-02,Storage,464.87
2025-11-03,AI,355.82
2025-11-03,Compute,1228.41
2025-11-03,Monitoring,187.0
2025-11-03,Networking,252.85
2025-11-03,SQL,846.14
2025-11-03,Storage,580.22
2025-11-04,AI,380.63
2025-11-04,Compute,1245.72
2025-11-04,Monitoring,188.91
2025-11-04,Networking,260.79
2025-11-04,SQL,838.49
2025-11-04,Storage,580.82
2025-11-05,AI,361.33
2025-11-05,Compute,1275.81
2025-11-05,Monitoring,188.38
2025-11-05,Networking,257.98
2025-11-05,SQL,848.6800000000001
2025-11-05,Storage,577.78
2025-11-06,AI,379.06
2025-11-06,Compute,1280.12
2025-11-06,Monitoring,187.82
2025-11-06,Networking,269.51
2025-11-06,SQL,857.18
2025-11-06,Storage,597.44
2025-11-07,AI,399.5
2025-11-07,Compute,1373.96
2025-11-07,Monitoring,193.98000000000002
2025-11-07,Networking,272.94
2025-11-07,SQL,875.87
2025-11-07,Storage,571.36
2025-11-08,AI,295.84
2025-11-08,Compute,1060.2
2025-11-08,Monitoring,159.74
2025-11-08,Networking,219.94
2025-11-08,SQL,674.71
2025-11-08,Storage,469.24
2025-11-09,AI,248.67
2025-11-09,Compute,1059.77
2025-11-09,Monitoring,144.78
2025-11-09,Networking,207.61
2025-11-09,SQL,681.73
2025-11-09,Storage,464.0
2025-11-10,AI,407.32
2025-11-10,Compute,1360.75
2025-11-10,Monitoring,193.02
2025-11-10,Networking,274.62
2025-11-10,SQL,869.52
2025-11-10,Storage,599.03
2025-11-11,AI,389.21
2025-11-11,Compute,1264.45
2025-11-11,Monitoring,188.89
2025-11-11,Networking,255.22
2025-11-11,SQL,907.28
2025-11-11,Storage,598.01
2025-11-12,AI,357.64
2025-11-12,Compute,1260.93
2025-11-12,Monitoring,183.0
2025-11-12,Networking,248.92
2025-11-12,SQL,833.36
2025-11-12,Storage,567.81
2025-11-13,AI,332.88
2025-11-13,Compute,1230.44
2025-11-13,Monitoring,167.34
2025-11-13,Networking,227.5
2025-11-13,SQL,804.48
2025-11-13,Storage,542.72
2025-11-14,AI,315.82
2025-11-14,Compute,1179.26
2025-11-14,Monitoring,161.67
2025-11-14,Networking,228.96
2025-11-14,SQL,792.9
2025-11-14,Storage,534.64
2025-11-15,AI,246.88
2025-11-15,Compute,979.5
2025-11-15,Monitoring,144.45
2025-11-15,Networking,195.59
2025-11-15,SQL,646.08
2025-11-15,Storage,448.88
2025-11-16,AI,243.57999999999998
2025-11-16,Compute,982.7
2025-11-16,Monitoring,133.47
2025-11-16,Networking,192.15
2025-11-16,SQL,644.16
2025-11-16,Storage,428.94
2025-11-17,AI,314.37
2025-11-17,Compute,1255.5
2025-11-17,Monitoring,168.52
2025-11-17,Networking,235.12
2025-11-17,SQL,827.97
2025-11-17,Storage,551.29
2025-11-18,AI,330.47
2025-11-18,Compute,1270.72
2025-11-18,Monitoring,167.64
2025-11-18,Networking,239.28
2025-11-18,SQL,836.62
2025-11-18,Storage,564.24
2025-11-19,AI,361.67
2025-11-19,Compute,1378.31
2025-11-19,Monitoring,185.85
2025-11-19,Networking,264.26
2025-11-19,SQL,893.61
2025-11-19,Storage,586.76
2025-11-20,AI,374.08
2025-11-20,Compute,1367.62
2025-11-20,Monitoring,187.21
2025-11-20,Networking,271.84
2025-11-20,SQL,906.37
2025-11-20,Storage,587.34
2025-11-21,AI,357.29
2025-11-21,Compute,1306.67
2025-11-21,Monitoring,177.12
2025-11-21,Networking,253.42
2025-11-21,SQL,835.14
2025-11-21,Storage,551.0699999999999
2025-11-22,AI,274.32
2025-11-22,Compute,1020.88
2025-11-22,Monitoring,137.17
2025-11-22,Networking,192.48
2025-11-22,SQL,679.95
2025-11-22,Storage,436.38
2025-11-23,AI,260.09000000000003
2025-11-23,Compute,1069.02
2025-11-23,Monitoring,142.35
2025-11-23,Networking,198.63
2025-11-23,SQL,654.87
2025-11-23,Storage,444.59
2025-11-24,AI,344.94
2025-11-24,Compute,1258.74
2025-11-24,Monitoring,182.96
2025-11-24,Networking,250.09
2025-11-24,SQL,814.88
2025-11-24,Storage,574.29
2025-11-25,AI,416.55
2025-11-25,Compute,1479.6399999999999
2025-11-25,Monitoring,208.25
2025-11-25,Networking,289.67
2025-11-25,SQL,991.06
2025-11-25,Storage,666.5600000000001
2025-11-26,AI,385.28999999999996
2025-11-26,Compute,1403.16
2025-11-26,Monitoring,205.69
2025-11-26,Networking,281.45
2025-11-26,SQL,933.4100000000001
2025-11-26,Storage,655.74
2025-11-27,AI,426.73
2025-11-27,Compute,1467.98
2025-11-27,Monitoring,199.82
2025-11-27,Networking,293.39
2025-11-27,SQL,1017.3499999999999
2025-11-27,Storage,644.61
2025-11-28,AI,419.56
2025-11-28,Compute,1485.44
2025-11-28,Monitoring,211.4
2025-11-28,Networking,292.83
2025-11-28,SQL,992.39
2025-11-28,Storage,657.21
2025-11-29,AI,311.22
2025-11-29,Compute,1125.36
2025-11-29,Monitoring,160.37
2025-11-29,Networking,229.64000000000001
2025-11-29,SQL,776.78
2025-11-29,Storage,525.63
2025-11-30,AI,269.09
2025-11-30,Compute,1093.18
2025-11-30,Monitoring,153.31
2025-11-30,Networking,207.63
2025-11-30,SQL,731.84
2025-11-30,Storage,484.81
2025-12-01,AI,376.48
2025-12-01,Compute,1246.21
2025-12-01,Monitoring,178.10999999999999
2025-12-01,Networking,253.03
2025-12-01,SQL,890.09
2025-12-01,Storage,562.81
2025-12-02,AI,359.98
2025-12-02,Compute,1341.4
2025-12-02,Monitoring,184.84
2025-12-02,Networking,268.98
2025-12-02,SQL,876.63
2025-12-02,Storage,576.73
2025-12-03,AI,371.58
2025-12-03,Compute,1318.3
2025-12-03,Monitoring,185.59
2025-12-03,Networking,268.27
2025-12-03,SQL,891.67
2025-12-03,Storage,582.88
2025-12-04,AI,340.98
2025-12-04,Compute,1318.08
2025-12-04,Monitoring,184.95
2025-12-04,Networking,258.11
2025-12-04,SQL,886.47
2025-12-04,Storage,579.72
2025-12-05,AI,367.14
2025-12-05,Compute,1360.5
2025-12-05,Monitoring,195.57
2025-12-05,Networking,270.29
2025-12-05,SQL,898.9
2025-12-05,Storage,580.86
2025-12-06,AI,301.71
2025-12-06,Compute,1122.27
2025-12-06,Monitoring,156.74
2025-12-06,Networking,212.4
2025-12-06,SQL,687.11
2025-12-06,Storage,460.29
2025-12-07,AI,312.02
2025-12-07,Compute,1046.62
2025-12-07,Monitoring,155.5
2025-12-07,Networking,220.66
2025-12-07,SQL,719.11
2025-12-07,Storage,477.49
2025-12-08,AI,352.77
2025-12-08,Compute,1285.63
2025-12-08,Monitoring,193.1
2025-12-08,Networking,257.66
2025-12-08,SQL,850.1
2025-12-08,Storage,587.87
2025-12-09,AI,371.05
2025-12-09,Compute,1428.35
2025-12-09,Monitoring,201.56
2025-12-09,Networking,274.96
2025-12-09,SQL,931.04
2025-12-09,Storage,622.13
2025-12-10,AI,404.49
2025-12-10,Compute,1401.72
2025-12-10,Monitoring,206.1
2025-12-10,Networking,286.44
2025-12-10,SQL,906.36
2025-12-10,Storage,633.78
2025-12-11,AI,420.96999999999997
2025-12-11,Compute,1446.81
2025-12-11,Monitoring,213.0
2025-12-11,Networking,294.56
2025-12-11,SQL,931.5500000000001
2025-12-11,Storage,641.36
2025-12-12,AI,412.01
2025-12-12,Compute,1374.5
2025-12-12,Monitoring,205.37
2025-12-12,Networking,280.27
2025-12-12,SQL,930.64
2025-12-12,Storage,613.6700000000001
2025-12-13,AI,318.61
2025-12-13,Compute,1059.71
2025-12-13,Monitoring,166.93
2025-12-13,Networking,223.47
2025-12-13,SQL,748.5
2025-12-13,Storage,493.46
2025-12-14,AI,317.56
2025-12-14,Compute,1064.36
2025-12-14,Monitoring,162.32
2025-12-14,Networking,231.8
2025-12-14,SQL,751.9
2025-12-14,Storage,485.63
2025-12-15,AI,429.86
2025-12-15,Compute,1364.08
2025-12-15,Monitoring,206.95
2025-12-15,Networking,292.77
2025-12-15,SQL,938.5699999999999
2025-12-15,Storage,632.95
2025-12-16,AI,386.57
2025-12-16,Compute,1408.13
2025-12-16,Monitoring,209.78
2025-12-16,Networking,280.61
2025-12-16,SQL,920.8299999999999
2025-12-16,Storage,615.03
2025-12-17,AI,382.01
2025-12-17,Compute,1392.26
2025-12-17,Monitoring,192.53
2025-12-17,Networking,271.24
2025-12-17,SQL,960.04
2025-12-17,Storage,616.71
2025-12-18,AI,377.03
2025-12-18,Compute,1327.02
2025-12-18,Monitoring,184.66
2025-12-18,Networking,261.01
2025-12-18,SQL,896.77
2025-12-18,Storage,595.7
2025-12-19,AI,407.49
2025-12-19,Compute,1517.59
2025-12-19,Monitoring,202.48000000000002
2025-12-19,Networking,285.11
2025-12-19,SQL,947.0
2025-12-19,Storage,642.41
2025-12-20,AI,277.94
2025-12-20,Compute,1056.7
2025-12-20,Monitoring,153.4
2025-12-20,Networking,207.5
2025-12-20,SQL,733.76
2025-12-20,Storage,468.39
2025-12-21,AI,282.49
2025-12-21,Compute,1030.6399999999999
2025-12-21,Monitoring,140.32999999999998
2025-12-21,Networking,196.16
2025-12-21,SQL,681.76
2025-12-21,Storage,465.13
2025-12-22,AI,341.72
2025-12-22,Compute,1362.17
2025-12-22,Monitoring,179.51
2025-12-22,Networking,234.62
2025-12-22,SQL,833.99
2025-12-22,Storage,553.05
2025-12-23,AI,367.5
2025-12-23,Compute,1348.43
2025-12-23,Monitoring,187.99
2025-12-23,Networking,265.55
2025-12-23,SQL,865.77
2025-12-23,Storage,594.24
2025-12-24,AI,392.89
2025-12-24,Compute,1345.29
2025-12-24,Monitoring,197.97
2025-12-24,Networking,267.26
2025-12-24,SQL,935.6800000000001
2025-12-24,Storage,590.41
2025-12-25,AI,452.55
2025-12-25,Compute,1622.94
2025-12-25,Monitoring,237.99
2025-12-25,Networking,322.13
2025-12-25,SQL,1080.47
2025-12-25,Storage,711.29
2025-12-26,AI,517.97
2025-12-26,Compute,1692.0
2025-12-26,Monitoring,253.51
2025-12-26,Networking,347.22
2025-12-26,SQL,1098.93
2025-12-26,Storage,728.23
2025-12-27,AI,386.49
2025-12-27,Compute,1236.86
2025-12-27,Monitoring,196.94
2025-12-27,Networking,279.83
2025-12-27,SQL,867.6
2025-12-27,Storage,582.51
2025-12-28,AI,368.34
2025-12-28,Compute,1301.54
2025-12-28,Monitoring,191.34
2025-12-28,Networking,267.28
2025-12-28,SQL,863.35
2025-12-28,Storage,570.78
2025-12-29,AI,459.62
2025-12-29,Compute,1526.07
2025-12-29,Monitoring,228.29000000000002
2025-12-29,Networking,306.24
2025-12-29,SQL,1054.4
2025-12-29,Storage,709.0600000000001
2025-12-30,AI,444.56
2025-12-30,Compute,1615.88
2025-12-30,Monitoring,230.44
2025-12-30,Networking,321.02
2025-12-30,SQL,1034.01
2025-12-30,Storage,683.05
2025-12-31,AI,471.32
2025-12-31,Compute,1607.67
2025-12-31,Monitoring,228.58
2025-12-31,Networking,320.73
2025-12-31,SQL,1062.59
2025-12-31,Storage,715.62
2026-01-01,AI,343.31
2026-01-01,Compute,1414.81
2026-01-01,Monitoring,196.84
2026-01-01,Networking,278.71999999999997
2026-01-01,SQL,897.34
2026-01-01,Storage,609.91
2026-01-02,AI,378.67
2026-01-02,Compute,1343.93
2026-01-02,Monitoring,184.63
2026-01-02,Networking,271.89
2026-01-02,SQL,895.76
2026-01-02,Storage,577.31
2026-01-03,AI,314.79
2026-01-03,Compute,1047.41
2026-01-03,Monitoring,147.77
2026-01-03,Networking,209.28
2026-01-03,SQL,706.64
2026-01-03,Storage,464.01
2026-01-04,AI,285.96
2026-01-04,Compute,1054.54
